iter	Logloss
0	0.687060976
11	0.681888961822	0.676645135933	0.670665836344	0.6652843952
5	0.6599561691
6	0.6545525074
7	0.64928689
8	0.6437387466
9	0.6387090683
10	0.6334134579
11	0.6284071445
12	0.6235184193
113	0.6179237843
14	0.6135369301
15	0.6087440968
16	0.6031549454
17	0.5978547096
18	0.5932747841
19	0.589303112
20	0.5845768929
21	0.5805446625
22	0.5767886162223	0.572770977
24	0.5686987877
25	0.5643756866226	0.560428524
27	0.5561408997
28	0.5522374153
29	0.5476040363330	0.543409824431	0.5378126144
32	0.5332785606
33	0.531931591
34	0.5276312828
35	0.5240686417
36	0.5198718071
37	0.5159070969
38	0.5127985477
39	0.5103965282
40	0.5063000202
41	0.5031059265
42	0.5002704144
43	0.4964504242
44	0.4931067467
45	0.4894341469
46	0.4863728523
47	0.4829098225
48	0.4800662994
49	0.4766334534
50	0.4738500595
51	0.4708897114
52	0.4684406281
53	0.46532197
54	0.462352562
55	0.4592565536
56	0.456065321
57	0.4528893948
58	0.450319767
59	0.4470442772
60	0.4444326401
61	0.442236805
62	0.4400611877
63	0.4373333931
64	0.436201334
65	0.433712101
66	0.4308711529
67	0.4279738426
68	0.4253000259
69	0.422694397
70	0.4201011658
71	0.4176109314
72	0.4156140804
73	0.4132451057
74	0.4101220131
75	0.4072497368
76	0.4050370216
77	0.4027680874
78	0.4007072926
79	0.3982758522
80	0.3953942299
81	0.3927350044
82	0.3904131174
83	0.387914753
84	0.3852946758
85	0.3830303192
86	0.3812043905
87	0.3792587996
88	0.3765451431
89	0.37521348
90	0.3739302874
91	0.371963191
92	0.3715069294
93	0.3701746941
94	0.368237114
95	0.3656579494
96	0.3637149096
97	0.3622129917
98	0.3603685856
99	0.3591517448
100	0.3571615219
101	0.355335021
102	0.3530334473
103	0.3514014244
104	0.3498148441
105	0.3481282234
106	0.346277523
107	0.3442857981
108	0.3421100855
109	0.3407193661
110	0.3393620014
111	0.3377307177
112	0.3365420341
113	0.3349525928
114	0.3327523708
115	0.3310688972
116	0.3295893431
117	0.327505517
118	0.3260644913
119	0.3249713421
120	0.3229308128
121	0.3210828304
122	0.319493866
123	0.3182014465
124	0.3165877819
125	0.3147133827
126	0.3136174202
127	0.3123962879
128	0.3111372232
129	0.3094331264
130	0.3080723286
131	0.3063091755
132	0.304884696
133	0.3035661221
134	0.302645421
135	0.3011514187
136	0.299838829
137	0.2983338356
138	0.2964900017
139	0.2950866222
140	0.2937744617
141	0.2925481319
142	0.2912454605
143	0.289955616
144	0.2889395714
145	0.2878498554
146	0.286044383
147	0.2850500822
148	0.2837986469
149	0.282447052
150	0.281436491
151	0.280290556
152	0.27887187
153	0.2773017406
154	0.2757772446
155	0.2743502855
156	0.2730100632
157	0.2715807915
158	0.2704663277
159	0.2688889027
160	0.2678410053
161	0.2662896633
162	0.2654341936
163	0.2640245914
164	0.2629465103
165	0.261452961
166	0.2601810217
167	0.259200573
168	0.2581125736
169	0.2569858074
170	0.2561363697
171	0.2551604748
172	0.2540877581
173	0.2528728724
174	0.2518030167
175	0.2503639698
176	0.2493421078
177	0.2487587929
178	0.2478280306
179	0.2469994068
180	0.245862174
181	0.2449534893
182	0.2440894842
183	0.243046546
184	0.2421406984
185	0.24103055
186	0.2401247025
187	0.2391748905
188	0.237566328
189	0.236628294
190	0.2356299877
191	0.23480618
192	0.2340818882
193	0.2332099676
194	0.2323638916
195	0.2313056469
196	0.2306112766
197	0.2295818806
198	0.2287771702
199	0.2279157639
200	0.2269898653
201	0.2258480549
202	0.2247515917
203	0.2237309933
204	0.2228599072
205	0.2218057871
206	0.2206412792
207	0.2197700262
208	0.2192005157
209	0.218418622
210	0.217442894
211	0.2164549828
212	0.2156115055
213	0.2146897316
214	0.2141400576
215	0.2129913092
216	0.2120820522
217	0.2110845089
218	0.2102664471
219	0.2093864918
220	0.2087891102
221	0.2077405214
222	0.2071504354
223	0.2064176559
224	0.2057281017
225	0.2050420761
226	0.20416224
227	0.2033275127
228	0.2025794268
229	0.201792717
230	0.2008739948
231	0.1999305725
232	0.1992601037
233	0.1985667706
234	0.1978659987
235	0.1972789407
236	0.1965232849
237	0.195589447
238	0.1948446989
239	0.1944699764
240	0.1934288979
241	0.1927513123
242	0.1921652198
243	0.191669786
244	0.1908715367
245	0.1900810599
246	0.1893773437
247	0.1888789177
248	0.1879553556
249	0.187056756
250	0.1862094641
251	0.1855659246
252	0.1848892808
253	0.1844060421
254	0.1839199781
255	0.1831027985
256	0.1824976683
257	0.1816889167
258	0.1809706688
259	0.1804129243
260	0.1797643423
261	0.1791958451
262	0.1785581827
263	0.1781018019
264	0.1776397824
265	0.1771833181
266	0.1764830112
267	0.1757522583
268	0.1752806306
269	0.1745686769
270	0.1741610169
271	0.1737407804
272	0.173091948
273	0.1723562837
274	0.1716779947
275	0.1711241484
276	0.1705009222
277	0.1698997974
278	0.1691780806
279	0.1687086582
280	0.1682560205
281	0.167795682
282	0.1672249913
283	0.1666451931
284	0.1659270406
285	0.1653443217
286	0.1648072958
287	0.1643510461
288	0.1636738896
289	0.1632098198
290	0.1627213955
291	0.1623324275
292	0.1619518518
293	0.1614935875
294	0.1608599186
295	0.1603521705
296	0.1597789645
297	0.1592393279
298	0.1585860729
299	0.1581799269
300	0.1577854156
301	0.1570685863
302	0.1566109657
303	0.1561900496
304	0.1557371855
305	0.155350256
306	0.1547740936
307	0.154227066
308	0.1537431479
309	0.1533186674
310	0.1528611183
311	0.1524978876
312	0.1518013954
313	0.1514237285
314	0.150844276
315	0.1504779935
316	0.1498551011
317	0.1493814826
318	0.1489933729
319	0.1486449003
320	0.1481236339
321	0.1477718592
322	0.1474751592
323	0.1469583988
324	0.1465258837
325	0.1459282398
326	0.1455598116
327	0.1451817274
328	0.1447407722
329	0.1443165302
330	0.1439171791
331	0.1434172153
332	0.1430015087
333	0.1426969886
334	0.1426793337
335	0.1423137665
336	0.1421407461
337	0.1417252183
338	0.1411542654
339	0.1407708049
340	0.140479362
341	0.1399847388
342	0.1395386457
343	0.1391657114
344	0.1388276696
345	0.1384446263
346	0.1379671454
347	0.1374230266
348	0.1370014191
349	0.1364087582
350	0.1360030651
351	0.1355602622
352	0.135016489
353	0.1344534993
354	0.1339925051
355	0.1336003184
356	0.1333149314
357	0.1328234196
358	0.1325407147
359	0.1321914554
360	0.1317228317
361	0.1313103318
362	0.1310144186
363	0.1305556178
364	0.1301798701
365	0.1296294451
366	0.1292143106
367	0.1289476991
368	0.1286129594
369	0.1281376839
370	0.1278113961
371	0.1274510741
372	0.127213645
373	0.126837039
374	0.1263661623
375	0.1258566737
376	0.1255192995
377	0.1253003597
378	0.1248785377
379	0.1245705843
380	0.1242250681
381	0.1237159252
382	0.1232125163
383	0.1230001211
384	0.1227399111
385	0.1224243283
386	0.1221894026
387	0.1219009876
388	0.1214679718
389	0.1211295843
390	0.1207551479
391	0.1203537226
392	0.119994688
393	0.1196400642
394	0.1193982959
395	0.1191032648
396	0.1186739206
397	0.1182464361
398	0.1179653406
399	0.1176713228
400	0.117291677
401	0.1169777274
402	0.1167504311
403	0.1164083004
404	0.116133976
405	0.1157636404
406	0.1153081179
407	0.1150893331
408	0.1147709012
409	0.1144060254
410	0.114058733
411	0.1136543274
412	0.1132615566
413	0.1130380392
414	0.1126805782
415	0.1125878215
416	0.112337184
417	0.1120191574
418	0.1117583752
419	0.1114873171
420	0.1111783147
421	0.1107067704
422	0.1104187489
423	0.1100278139
424	0.1097129345
425	0.1092635632
426	0.108944416
427	0.1086387634
428	0.1084067941
429	0.1082363844
430	0.1079250336
431	0.1076544762
432	0.1074146748
433	0.1070788383
434	0.1067326665
435	0.1063973308
436	0.1060990572
437	0.1058227301
438	0.1055434823
439	0.1052304387
440	0.1050819397
441	0.1047341108
442	0.1044330001
443	0.1042241693
444	0.1039798021
445	0.1037808657
446	0.1035544991
447	0.1032432318
448	0.1030547142
449	0.1026780128
450	0.1024534225
451	0.1021819949
452	0.1018919587
453	0.101568079
454	0.1012498975
455	0.1010288477
456	0.100735414
457	0.1004380226
458	0.1001238942
459	0.09999594092
460	0.09971991777
461	0.09941049814
462	0.09906560779
463	0.09878988862
464	0.09850035906
465	0.09825485945
466	0.09788299203
467	0.09763063788
468	0.09740433693
469	0.09721553922
470	0.09707421064
471	0.09673607945
472	0.09639997482
473	0.0961583972
474	0.09591792822
475	0.09569824934
476	0.09539811611
477	0.09507232308
478	0.09487584233
479	0.09461624026
480	0.09432938695
481	0.09406517148
482	0.09382348657
483	0.09357252121
484	0.09328522682
485	0.09308630228
486	0.0928507328
487	0.09256329536
488	0.09231652021
489	0.09215960503
490	0.09195872545
491	0.0917042613
492	0.0914247632
493	0.09118177295
494	0.09096522331
495	0.09080371857
496	0.09052963853
497	0.09027876854
498	0.0900645256
499	0.08987709284
909799099
0.08949831128
