iter	Passed	Remaining
383	22185	6701
384	22246	6645
385	22296	6585
386	22353	6526
387	22416	6470
388	22482	6415
389	22535	6356
390	22600	6300
391	22655	6241
392	22717	6185
393	22774	6127
394	22834	6069
395	22902	6014
396	22966	5958
397	23033	5903
398	23093	5845
399	23154	5788
400	23221	5732
401	23282	5675
402	23287	5605
403	23341	5546
404	23400	5488
405	23457	5431
406	23522	5374
407	23580	5317
408	23636	5258
409	23696	5201
410	23754	5143
411	23813	5086
412	23868	5027
413	23915	4968
414	23977	4911
415	23982	4842
416	24038	4784
417	24099	4727
418	24160	4670
419	24220	4613
420	24278	4555
421	24340	4498
422	24404	4442
423	24456	4383
424	24458	4316
425	24511	4257
426	24571	4200
427	24628	4143
428	24686	4085
429	24739	4027
430	24790	3968
431	24847	3911
432	24908	3854
433	24968	3796
434	25029	3740
435	25089	3682
436	25144	3624
437	25206	3568
438	25274	3511
439	25335	3454
440	25336	3389
441	25389	3331
442	25442	3273
443	25499	3216
444	25561	3159
445	25617	3101
446	25671	3043
447	25731	2986
448	25789	2929
449	25860	2873
450	25919	2816
451	25974	2758
452	26037	2701
453	26098	2644
454	26157	2587
455	26159	2524
456	26217	2466
457	26282	2410
458	26342	2353
459	26405	2296
460	26474	2239
461	26534	2182
462	26600	2125
463	26660	2068
464	26720	2011
465	26783	1954
466	26845	1897
467	26902	1839
468	26963	1782
469	27023	1724
470	27027	1664
471	27086	1606
472	27140	1549
473	27199	1491
474	27256	1434
475	27311	1377
476	27362	1319
477	27423	1262
478	27487	1205
479	27542	1147
480	27588	1089
481	27645	1032
482	27704	975
483	27754	917
484	27807	860
485	27858	802
486	27902	744
487	27941	687
488	27985	629
489	27986	571
490	28023	513
491	28065	456
492	28095	398
493	28125	341
494	28154	284
495	28183	227
496	28212	170
497	28242	113
498	28271	56
499	28301	0
